ell,auth,enc,trapdoor,test
84,0.0025634527206420898,5.6290626525878905e-05,9.97304916381836e-05,0.0072493314743041996
85,0.0025174617767333984,6.75201416015625e-05,9.648799896240234e-05,0.0069740056991577145
86,0.0026993751525878906,7.512569427490235e-05,9.298324584960938e-05,0.007074332237243653
87,0.002605581283569336,6.475448608398438e-05,9.66787338256836e-05,0.0074362516403198246
88,0.0027074575424194335,8.218288421630859e-05,9.446144104003906e-05,0.007304334640502929
89,0.0028723001480102537,5.6695938110351565e-05,9.145736694335938e-05,0.00742185115814209
90,0.0026253700256347657,6.711483001708984e-05,9.915828704833984e-05,0.00752711296081543
91,0.003197646141052246,7.975101470947266e-05,0.00012018680572509766,0.007598233222961426
92,0.0026932001113891602,5.6624412536621094e-05,9.300708770751954e-05,0.007399296760559082
93,0.0027601957321166993,6.592273712158203e-05,0.000116729736328125,0.007148122787475586
94,0.0027511119842529297,6.98089599609375e-05,0.00010132789611816406,0.007502508163452148
95,0.0026890039443969727,7.395744323730468e-05,0.0001142263412475586,0.007313227653503418
96,0.002576255798339844,5.6576728820800784e-05,0.00010766983032226563,0.007269573211669922
97,0.0025347471237182617,5.5837631225585935e-05,9.829998016357422e-05,0.007355093955993652
98,0.002585029602050781,5.862712860107422e-05,9.989738464355469e-05,0.006978583335876465
99,0.0025095462799072264,5.5837631225585935e-05,0.00012607574462890624,0.007029414176940918
100,0.002552509307861328,6.322860717773437e-05,0.0001337289810180664,0.007228565216064453
1,0.0032996416091918947,0.0005671501159667969,0.0005781888961791992,0.007457733154296875
2,0.003203582763671875,0.0006863117218017578,0.0008068323135375976,0.007429146766662597
3,0.00370941162109375,0.0008090734481811523,0.0010345697402954102,0.007627654075622559
4,0.0034386396408081056,0.0010900259017944335,0.0013717412948608398,0.007777762413024902
5,0.00339353084564209,0.0012185096740722657,0.0017688751220703125,0.007911419868469239
6,0.0032268524169921874,0.0013225793838500977,0.0019477605819702148,0.007490181922912597
7,0.0032170772552490234,0.0014154911041259766,0.0023001432418823242,0.0043327569961547855
